,study_hours_per_day,sleep_hours,stress_level,focus_score,productivity_score
6101,5.94,5.63,8,66,47.62
6102,6.33,8.72,8,95,66.57
6103,5.92,5.13,5,65,53.27
6104,1.31,5.65,6,60,29.04
6105,6.84,7.88,7,62,47.93
6106,4.15,8.26,2,80,69.13
6107,8.84,4.91,1,58,59.69
6108,5.49,3.12,1,81,52.19
6109,1.3,4.23,2,52,29.0
6110,0.59,4.84,9,44,8.95
6111,7.17,9.34,10,88,67.48
6112,4.3,9.26,6,62,39.19
6113,3.24,7.62,5,41,35.53
6114,4.75,7.97,10,43,38.58
6115,1.19,7.35,2,64,41.64
6116,4.22,8.45,2,84,66.89
6117,3.49,5.46,8,65,48.33
6118,8.1,6.83,10,34,51.54
6119,2.16,7.69,6,78,54.61
6120,7.69,6.28,7,48,45.67
6121,5.25,8.41,5,88,75.74
6122,1.28,9.53,5,66,40.61
6123,9.71,7.65,3,47,78.05
6124,7.47,3.52,8,70,46.44
6125,2.97,7.27,5,66,47.88
6126,6.03,7.87,9,85,70.96
6127,9.05,4.98,6,30,40.46
6128,9.34,5.25,2,96,75.59
6129,7.45,7.17,9,98,77.51
6130,7.41,7.95,5,49,55.97
6131,3.13,9.1,3,76,61.36
6132,9.9,8.34,9,48,56.97
6133,2.81,3.94,1,57,31.3
6134,1.35,5.44,7,65,32.23
6135,9.79,4.04,7,88,82.57
6136,1.95,8.3,2,53,47.61
6137,5.46,4.87,2,66,61.17
6138,4.95,3.86,3,59,54.25
6139,8.56,3.67,6,78,59.85
6140,4.27,3.8,9,94,34.07
6141,5.27,4.73,8,54,46.49
6142,0.92,8.48,10,97,43.69
6143,2.47,4.66,5,51,37.45
6144,8.41,4.97,1,44,64.31
6145,5.04,9.16,4,90,62.23
6146,2.69,6.1,3,74,45.5
6147,4.0,6.56,2,70,45.57
6148,3.21,3.02,9,93,31.3
6149,5.78,3.57,4,49,51.68
6150,0.99,8.18,5,46,32.05
6151,2.64,5.33,6,47,31.93
6152,3.87,4.05,5,89,45.34
6153,9.32,6.0,5,33,64.83
6154,6.42,3.32,10,56,33.44
6155,5.29,7.97,4,88,67.96
6156,2.31,3.56,2,99,55.33
6157,5.8,3.38,7,53,43.75
6158,9.33,5.94,9,69,61.74
6159,5.88,7.11,8,57,54.25
6160,2.07,8.35,2,51,43.92
6161,9.97,3.5,10,91,67.31
6162,5.24,5.34,5,34,27.63
6163,3.54,4.88,4,96,49.67
6164,5.28,8.21,6,93,60.93
6165,3.01,5.59,3,89,40.62
6166,0.79,7.39,3,71,27.61
6167,8.95,6.43,1,98,89.63
6168,4.57,6.99,10,46,27.12
6169,7.65,5.56,3,45,57.83
6170,9.73,4.67,2,42,57.78
6171,6.51,3.42,10,35,27.97
6172,7.07,4.21,3,61,60.1
6173,9.46,4.21,1,79,61.98
6174,5.41,9.54,3,92,69.75
6175,3.54,9.56,1,86,63.72
6176,9.25,4.79,4,37,44.03
6177,1.16,3.74,8,98,39.03
6178,2.54,4.97,10,69,25.19
6179,3.74,8.58,1,77,67.49
6180,7.93,9.1,7,62,77.27
6181,9.09,6.51,5,63,71.64
6182,4.79,6.78,9,61,40.21
6183,3.22,6.21,7,36,24.96
6184,3.86,4.28,10,42,26.27
6185,6.74,3.35,5,68,49.21
6186,2.0,7.35,7,64,34.75
6187,5.7,8.59,8,52,50.36
6188,6.09,8.25,9,69,65.81
6189,7.22,9.3,2,83,72.18
6190,6.24,8.7,4,59,60.49
6191,1.42,5.01,4,31,26.92
6192,7.04,3.82,10,36,27.93
6193,0.71,6.02,8,42,21.2
6194,4.21,5.44,4,61,47.79
6195,4.46,8.1,2,35,43.61
6196,1.61,3.48,4,57,23.6
6197,0.59,9.6,8,36,22.04
6198,1.18,9.7,1,52,48.52
6199,4.74,3.62,5,86,42.3
6200,2.78,6.04,1,61,45.99
6201,1.16,9.29,7,66,38.45
6202,2.94,4.31,6,80,37.22
6203,5.52,7.85,1,58,54.33
6204,7.55,7.98,5,72,64.14
6205,4.41,4.64,4,34,38.07
6206,6.32,3.04,2,30,26.5
6207,6.17,7.65,7,36,37.66
6208,9.01,7.32,6,65,67.18
6209,2.2,7.55,6,67,50.28
6210,5.03,4.1,9,51,38.68
6211,6.5,7.23,8,52,50.34
6212,5.44,6.79,2,79,47.87
6213,4.78,6.17,8,51,47.86
6214,9.75,8.44,3,84,80.57
6215,9.45,5.72,9,36,47.69
6216,6.31,5.47,10,96,61.68
6217,4.68,6.79,4,78,52.1
6218,7.68,9.61,9,30,56.21
6219,5.37,5.41,3,45,47.65
6220,9.96,6.12,9,72,72.46
6221,7.02,4.86,9,58,42.11
6222,1.15,7.76,2,71,43.56
6223,4.32,5.55,9,94,50.36
6224,7.44,7.85,10,75,66.99
6225,8.5,4.02,4,33,44.67
6226,8.23,4.85,6,65,47.5
6227,9.78,4.44,5,79,67.15
6228,5.15,8.44,2,90,61.63
6229,1.83,3.63,9,44,23.13
6230,6.7,4.76,2,71,61.99
6231,1.17,6.55,7,78,40.62
6232,9.75,3.61,6,53,56.37
6233,7.71,3.08,1,38,43.54
6234,9.83,7.84,10,89,79.33
6235,4.08,7.3,3,65,52.75
6236,0.65,3.06,9,31,1.82
6237,5.45,3.34,6,89,40.57
6238,1.65,4.54,9,99,35.07
6239,6.96,9.34,8,43,50.84
6240,5.23,7.57,2,42,53.25
6241,7.66,8.64,2,40,59.95
6242,3.27,8.32,5,70,48.25
6243,8.38,9.88,9,44,49.93
6244,6.68,9.65,9,70,54.38
6245,9.88,3.47,1,44,62.64
6246,2.2,3.16,10,45,9.35
6247,0.99,6.48,10,78,42.77
6248,8.58,4.9,1,31,41.8
6249,3.72,6.53,7,72,38.23
6250,4.6,3.63,6,76,36.89
6251,9.29,9.36,7,74,69.37
6252,4.69,8.42,9,86,61.55
6253,3.33,6.86,10,49,25.16
6254,1.07,6.26,7,36,23.79
6255,4.71,6.28,1,96,62.56
6256,6.72,7.32,10,76,71.09
6257,3.06,6.82,7,89,51.11
6258,7.32,6.38,6,90,70.72
6259,5.04,7.75,2,95,68.97
6260,8.65,8.35,10,41,62.79
6261,2.04,7.5,7,54,39.76
6262,7.69,5.74,1,45,59.31
6263,9.36,5.9,10,98,59.82
6264,7.54,3.69,3,91,63.1
6265,4.36,5.9,6,43,23.82
6266,2.69,8.5,9,88,57.39
6267,1.43,3.47,8,65,21.02
6268,6.6,4.23,8,36,41.44
6269,1.86,8.9,10,59,29.22
6270,8.46,6.98,7,53,50.89
6271,9.63,7.7,8,73,82.14
6272,1.79,5.25,5,98,32.33
6273,4.07,6.42,1,47,48.99
6274,9.4,8.33,3,50,74.54
6275,4.97,9.13,6,64,54.62
6276,5.59,9.82,2,56,54.36
6277,7.6,8.96,9,36,44.17
6278,2.5,3.47,4,91,37.34
6279,9.8,5.4,5,64,73.09
6280,7.92,8.24,4,55,65.01
6281,2.03,5.93,3,96,51.05
6282,1.56,6.05,8,76,45.08
6283,9.38,8.56,10,32,64.02
6284,7.01,8.83,10,41,49.46
6285,0.87,8.54,6,44,24.33
6286,1.85,5.48,3,77,40.05
6287,0.95,4.6,3,87,44.27
6288,9.75,5.51,6,40,51.15
6289,5.23,7.91,9,86,60.19
6290,4.89,5.55,3,90,57.68
6291,9.58,3.39,5,73,67.76
6292,5.29,8.61,2,69,67.71
6293,5.42,3.44,9,87,40.87
6294,9.85,9.97,1,58,76.49
6295,1.56,9.03,8,74,49.36
6296,9.86,9.69,3,59,83.11
6297,2.07,8.83,9,85,35.56
6298,4.99,3.71,5,67,41.77
6299,3.71,5.93,9,48,25.18
6300,9.58,9.36,5,31,59.94
6301,5.11,3.64,3,31,34.86
6302,0.72,5.14,1,82,39.82
6303,2.61,6.27,7,38,20.7
6304,4.59,6.15,7,49,32.3
6305,6.93,9.61,5,72,61.96
6306,5.84,5.77,3,69,46.86
6307,8.57,4.67,2,40,60.5
6308,8.37,6.11,10,64,61.0
6309,6.11,5.77,1,70,54.3
6310,5.93,7.36,10,78,54.0
6311,3.14,9.96,9,41,39.09
6312,9.6,6.86,8,51,50.36
6313,1.23,6.24,9,52,16.17
6314,4.27,7.16,4,78,52.97
6315,6.78,9.86,8,65,58.38
6316,9.48,7.37,7,41,66.77
6317,5.26,3.86,2,91,52.36
6318,9.01,9.39,3,71,83.35
6319,1.5,7.14,3,99,54.92
6320,5.55,4.11,5,50,30.78
6321,3.5,4.61,3,35,34.31
6322,8.06,3.84,7,67,48.04
6323,4.73,9.73,3,83,63.72
6324,5.01,3.5,7,75,39.08
6325,1.12,8.35,3,69,44.4
6326,4.66,5.36,5,64,48.55
6327,1.27,3.57,3,60,14.61
6328,3.35,6.04,3,39,30.95
6329,1.71,3.0,3,55,17.48
6330,3.68,8.72,7,67,49.98
6331,2.66,6.79,1,83,47.67
6332,3.21,6.16,5,66,42.22
6333,1.91,8.8,8,50,35.79
6334,4.68,6.64,6,91,58.45
6335,5.23,7.17,8,70,52.61
6336,8.45,8.7,5,63,71.48
6337,5.62,8.04,2,57,65.57
6338,2.67,7.61,4,33,41.39
6339,7.49,7.93,7,85,77.11
6340,3.32,4.84,4,36,24.6
6341,7.69,3.82,2,97,63.99
6342,4.18,7.36,8,49,35.75
6343,5.38,4.57,8,53,43.14
6344,5.29,3.33,4,45,43.28
6345,9.58,4.78,8,38,58.84
6346,1.96,8.04,9,38,37.44
6347,9.42,7.96,5,93,81.62
6348,5.84,9.32,1,72,63.9
6349,9.94,7.73,9,55,56.38
6350,5.94,6.08,10,69,46.99
6351,6.74,4.82,5,46,35.32
6352,7.62,8.31,9,40,58.14
6353,8.31,5.88,2,59,57.28
6354,5.04,8.71,7,69,49.58
6355,6.95,8.96,9,41,57.25
6356,6.34,5.46,10,94,59.79
6357,4.37,5.41,1,43,42.36
6358,8.3,9.4,7,74,64.14
6359,2.33,5.78,9,59,39.08
6360,2.09,7.95,5,41,29.43
6361,7.5,5.64,5,40,44.37
6362,6.56,8.12,2,35,50.71
6363,3.52,4.22,4,93,42.02
6364,6.53,8.85,4,68,75.9
6365,7.82,9.88,9,73,65.28
6366,2.56,8.36,8,56,38.88
6367,6.02,5.51,9,66,60.32
6368,8.33,6.89,10,87,64.97
6369,4.41,7.69,1,90,63.01
6370,5.93,4.35,9,62,44.05
6371,1.25,4.98,5,65,33.88
6372,8.39,8.61,4,65,64.99
6373,8.06,9.62,2,64,76.93
6374,4.83,4.91,1,99,61.14
6375,1.63,4.03,8,43,10.95
6376,6.77,9.87,6,35,50.09
6377,5.94,5.24,10,45,35.34
6378,9.24,8.45,3,55,73.12
6379,3.16,5.65,2,35,25.18
6380,0.81,9.64,2,82,50.1
6381,2.92,7.2,8,65,48.37
6382,4.57,5.91,6,80,58.04
6383,1.98,4.25,6,39,20.82
6384,9.81,4.79,7,41,54.58
6385,2.61,9.0,2,36,49.15
6386,6.94,3.4,6,70,62.32
6387,4.81,4.1,3,53,29.43
6388,5.77,4.35,9,66,47.76
6389,9.36,3.49,4,64,63.07
6390,5.55,7.8,6,68,53.63
6391,3.4,9.87,1,79,48.93
6392,2.6,3.97,5,37,31.4
6393,8.97,8.59,6,35,64.07
6394,9.87,4.24,8,59,69.32
6395,2.89,9.82,1,68,53.51
6396,7.36,6.55,8,61,55.67
6397,5.3,8.93,2,76,71.17
6398,7.14,4.19,1,67,56.6
6399,9.66,9.2,5,76,80.16
6400,3.12,3.57,8,31,10.04
6401,7.53,3.16,6,67,45.49
6402,4.66,7.96,10,83,51.33
6403,6.7,3.75,4,34,31.83
6404,4.36,9.06,2,38,40.96
6405,7.23,7.35,8,34,39.78
6406,3.71,5.32,7,42,29.21
6407,5.14,4.94,9,65,35.23
6408,7.23,3.57,8,78,56.43
6409,0.91,7.81,7,39,14.96
6410,3.62,9.42,6,38,36.44
6411,5.69,8.3,5,38,42.42
6412,1.2,7.34,5,70,42.26
6413,7.18,3.83,6,36,51.07
6414,8.23,8.79,3,55,64.64
6415,2.05,9.76,9,61,36.37
6416,7.47,4.84,2,95,81.0
6417,6.64,5.94,7,81,63.08
6418,4.4,3.1,3,99,63.49
6419,2.07,8.82,3,61,53.17
6420,9.57,3.15,5,46,52.64
6421,4.91,6.41,6,44,31.73
6422,2.24,7.04,10,81,40.91
6423,7.32,3.39,2,34,34.88
6424,6.28,4.23,6,56,44.45
6425,8.25,8.54,10,48,55.69
6426,9.96,4.77,4,41,63.57
6427,0.93,8.07,3,78,40.04
6428,7.52,8.24,5,80,66.85
6429,9.9,5.85,3,59,75.46
6430,5.61,3.45,4,74,51.27
6431,7.3,3.08,4,77,55.08
6432,4.69,6.45,2,69,44.41
6433,3.89,3.5,7,92,39.68
6434,7.12,8.09,6,30,43.84
6435,9.89,5.67,6,45,61.82
6436,1.37,7.78,2,43,38.23
6437,4.51,5.86,5,33,32.91
6438,9.44,7.4,9,67,71.93
6439,1.57,8.83,6,39,32.76
6440,6.68,9.19,8,65,61.59
6441,4.59,3.12,5,75,41.1
6442,4.08,7.52,9,83,41.62
6443,2.49,6.95,5,53,34.26
6444,2.18,7.46,1,88,46.71
6445,5.4,3.41,7,97,61.89
6446,4.09,3.49,9,77,35.82
6447,5.17,6.48,7,61,39.56
6448,2.36,3.4,9,97,30.36
6449,3.83,8.43,3,53,46.6
6450,9.97,8.41,4,60,65.36
6451,4.0,3.82,10,46,36.11
6452,4.42,6.19,7,37,37.8
6453,0.69,7.16,9,77,34.47
6454,4.12,9.02,4,60,57.31
6455,7.75,9.92,1,99,90.46
6456,5.4,3.12,1,71,49.0
6457,6.74,6.33,6,94,74.44
6458,5.79,8.62,7,30,47.96
6459,1.5,8.57,9,36,23.0
6460,3.66,6.79,4,72,49.77
6461,7.1,4.28,9,74,45.01
6462,5.71,6.91,1,65,54.2
6463,6.91,5.74,9,63,53.29
6464,3.92,5.86,5,78,50.59
6465,2.34,5.3,7,34,14.34
6466,8.38,4.01,10,51,46.55
6467,4.07,8.17,10,90,60.17
6468,6.72,7.96,1,64,67.74
6469,4.12,6.8,9,49,42.18
6470,9.31,5.48,5,74,56.38
6471,9.92,8.76,7,61,77.96
6472,6.66,4.12,10,76,58.86
6473,6.22,6.04,9,42,42.19
6474,8.49,7.57,2,80,66.91
6475,5.4,8.75,7,37,57.37
6476,8.76,7.55,9,35,58.77
6477,4.42,3.82,10,54,33.39
6478,0.8,3.71,10,93,23.25
6479,9.3,3.35,10,62,61.63
6480,7.35,6.92,1,54,54.62
6481,5.35,4.7,2,36,34.43
6482,9.48,4.12,1,99,84.17
6483,8.92,3.59,5,70,52.2
6484,1.53,7.49,6,72,40.55
6485,6.43,8.27,9,59,59.81
6486,5.61,9.0,10,48,46.99
6487,7.88,7.17,8,41,42.74
6488,3.36,5.48,6,50,34.84
6489,0.58,6.29,5,65,39.78
6490,2.26,7.45,7,72,45.58
6491,2.5,7.99,6,43,34.96
6492,3.27,7.51,5,75,39.09
6493,4.02,9.73,6,90,55.05
6494,7.21,8.25,10,49,47.08
6495,1.21,8.25,7,88,40.9
6496,5.12,8.74,7,46,54.91
6497,5.24,6.22,6,74,46.46
6498,6.35,4.85,2,45,44.13
6499,3.45,8.71,3,65,44.67
6500,2.97,6.25,9,36,31.16
6501,5.1,7.25,2,62,41.97
6502,6.77,6.01,2,84,63.73
6503,0.92,5.77,7,52,19.09
6504,3.29,7.7,3,96,66.03
6505,7.98,7.66,8,66,55.68
6506,5.1,5.16,1,60,39.13
6507,9.54,4.32,10,75,61.36
6508,8.74,3.92,3,49,58.72
6509,3.77,3.8,5,50,26.99
6510,7.4,8.72,2,33,64.14
6511,3.11,5.0,9,92,38.09
6512,2.17,7.75,2,32,35.46
6513,8.87,5.01,2,45,56.54
6514,3.83,7.67,7,51,40.14
6515,2.43,9.89,2,83,53.15
6516,9.67,3.46,8,32,51.08
6517,0.79,7.58,1,80,49.73
6518,3.99,4.98,6,92,58.08
6519,0.86,3.58,1,60,34.98
6520,5.29,3.55,3,61,46.66
6521,4.31,5.6,2,33,38.34
6522,7.35,6.78,6,93,67.4
6523,9.56,7.53,10,59,59.71
6524,5.44,6.97,9,59,53.1
6525,3.21,9.29,9,85,40.67
6526,8.79,4.07,2,54,47.08
6527,6.24,8.8,2,45,49.15
6528,5.76,6.7,7,90,57.24
6529,2.29,9.02,4,91,51.88
6530,0.89,5.99,5,67,33.42
6531,4.88,6.37,9,96,49.65
6532,5.52,5.96,5,68,51.3
6533,1.71,3.68,6,87,29.37
6534,1.06,4.02,10,71,30.51
6535,2.55,6.62,9,74,33.22
6536,1.1,6.73,1,85,39.47
6537,1.03,6.27,2,33,32.39
6538,4.72,3.09,7,34,19.11
6539,8.2,6.54,7,36,57.73
6540,6.81,3.94,1,52,37.68
6541,6.95,6.96,2,43,59.4
6542,2.99,5.02,2,46,36.02
6543,0.61,9.94,2,94,58.49
6544,4.78,5.51,10,33,30.31
6545,4.08,8.75,2,69,61.37
6546,9.5,4.72,3,57,53.08
6547,1.18,4.33,6,34,11.97
6548,7.88,4.55,10,66,58.21
6549,4.16,5.33,8,55,36.37
6550,8.38,8.94,9,70,65.32
6551,5.2,8.35,5,91,64.72
6552,8.29,6.05,3,39,61.84
6553,4.94,4.32,5,41,31.32
6554,4.32,3.34,5,85,36.7
6555,9.66,7.33,5,35,64.51
6556,4.0,7.95,3,80,52.59
6557,8.15,7.24,5,69,69.8
6558,1.14,6.51,8,97,39.95
6559,1.1,9.81,3,59,41.79
6560,4.66,3.17,5,74,39.35
6561,6.06,9.92,2,42,64.67
6562,6.28,4.93,2,41,53.75
6563,0.85,5.68,4,57,18.45
6564,7.12,8.27,7,30,45.54
6565,1.73,4.59,2,57,25.06
6566,9.58,7.97,8,77,71.75
6567,3.67,5.33,4,48,25.61
6568,2.98,9.58,10,33,26.42
6569,3.27,4.2,4,39,36.99
6570,9.4,9.52,8,30,62.24
6571,5.09,8.54,8,60,62.97
6572,4.63,4.19,5,88,56.34
6573,5.88,5.71,7,70,43.5
6574,9.34,3.73,8,89,59.66
6575,3.43,7.2,1,41,46.51
6576,2.22,9.72,6,38,43.72
6577,6.16,3.55,6,68,41.63
6578,5.17,4.81,8,97,61.22
6579,1.09,8.29,6,94,56.92
6580,5.46,6.21,10,46,29.88
6581,5.84,5.37,2,74,56.18
6582,7.09,7.21,7,88,69.2
6583,9.96,5.06,4,31,63.8
6584,4.51,5.3,1,49,47.55
6585,5.35,8.64,5,50,47.74
6586,1.21,5.74,10,94,35.79
6587,8.4,7.9,7,91,68.59
6588,1.43,4.06,10,65,23.16
6589,9.37,5.79,8,83,68.77
6590,3.81,6.86,1,80,53.54
6591,3.71,4.87,5,74,52.95
6592,3.62,5.95,5,45,24.36
6593,9.53,8.32,4,91,75.8
6594,9.81,4.13,3,31,53.71
6595,9.75,6.51,10,97,72.1
6596,7.2,4.83,4,55,49.83
6597,1.56,5.87,10,97,30.92
6598,4.17,5.63,5,79,48.97
6599,3.25,7.59,3,53,44.95
6600,7.23,8.37,9,78,63.9
6601,5.18,6.5,3,78,49.08
6602,6.36,4.17,6,56,46.15
6603,0.58,9.08,7,45,31.93
6604,7.94,4.3,6,65,46.14
6605,9.54,7.05,10,37,53.36
6606,6.86,6.69,7,90,71.53
6607,8.59,5.01,10,69,57.02
6608,5.04,9.67,8,48,59.52
6609,0.69,7.74,5,89,42.78
6610,9.91,6.29,10,79,76.12
6611,1.06,6.1,2,74,45.47
6612,2.33,3.65,6,63,37.77
6613,1.0,8.46,5,92,50.58
6614,6.44,3.59,3,74,43.12
6615,6.04,4.41,9,76,48.41
6616,2.49,4.15,10,78,36.99
6617,9.59,3.48,8,72,50.81
6618,9.18,8.81,6,30,65.55
6619,3.16,9.34,9,58,40.75
6620,6.76,7.38,9,97,73.77
6621,8.62,9.14,4,51,59.16
6622,3.92,7.73,4,42,40.66
6623,2.91,7.8,10,45,27.72
6624,2.93,9.23,6,35,40.08
6625,8.29,3.64,6,47,39.12
6626,4.9,3.38,7,88,38.49
6627,7.3,3.38,9,75,59.96
6628,6.68,5.93,2,60,61.93
6629,3.41,9.62,9,96,63.24
6630,2.48,9.09,1,31,47.6
6631,1.69,8.47,6,95,60.46
6632,0.73,5.83,9,54,24.62
6633,1.27,8.77,3,44,38.13
6634,2.93,4.53,9,47,24.24
6635,7.28,7.1,6,56,57.06
6636,1.97,8.22,6,63,44.63
6637,5.47,3.65,8,85,42.47
6638,2.83,9.12,7,44,45.59
6639,5.36,8.09,2,77,60.28
6640,7.63,6.73,3,86,60.89
6641,3.03,3.44,3,92,49.05
6642,3.81,7.86,2,60,42.42
6643,7.37,6.13,8,41,47.05
6644,5.69,8.16,8,98,55.89
6645,1.4,3.25,2,61,23.44
6646,7.7,7.02,8,40,57.12
6647,3.14,6.13,5,40,34.23
6648,4.16,6.01,9,79,36.94
6649,2.83,6.62,1,53,41.76
6650,5.66,3.87,9,97,61.85
6651,7.22,9.55,8,93,79.04
6652,8.13,7.93,3,40,58.6
6653,9.26,3.59,1,54,66.11
6654,3.91,3.56,4,74,38.1
6655,9.36,4.47,8,40,39.27
6656,6.36,4.68,4,97,73.25
6657,4.2,6.45,7,64,53.79
6658,8.93,6.76,8,92,82.19
6659,6.01,4.02,10,59,40.22
6660,4.82,9.81,2,85,76.24
6661,0.61,8.77,2,86,45.63
6662,7.32,7.43,9,65,52.25
6663,1.23,4.95,8,84,27.84
6664,3.25,9.37,5,92,66.75
6665,9.64,5.21,3,47,53.27
6666,1.97,5.23,5,44,15.22
6667,3.46,5.47,2,38,25.62
6668,9.36,3.34,10,41,41.92
6669,3.71,3.43,7,70,47.92
6670,3.62,6.33,3,79,50.16
6671,6.66,9.17,7,51,59.71
6672,1.75,9.6,4,61,46.18
6673,9.74,8.43,3,34,68.55
6674,3.11,5.83,5,59,28.11
6675,7.96,5.17,10,38,39.22
6676,3.23,4.51,4,72,44.19
6677,3.12,6.77,8,92,57.46
6678,1.05,6.38,4,64,21.46
6679,1.63,6.27,4,70,31.5
6680,5.46,5.21,9,56,35.67
6681,5.98,7.07,7,41,50.68
6682,8.25,7.26,1,57,75.53
6683,1.07,9.13,3,91,49.08
6684,3.88,8.33,5,69,55.25
6685,2.4,5.31,1,76,33.06
6686,3.9,5.66,4,71,55.94
6687,3.87,4.68,8,32,12.23
6688,3.87,4.2,6,35,23.39
6689,3.44,3.76,7,36,23.46
6690,7.76,3.24,5,53,52.86
6691,7.05,5.92,9,67,48.2
6692,3.74,9.71,3,83,60.97
6693,1.89,6.77,8,87,46.85
6694,5.42,8.2,1,76,66.11
6695,9.23,5.78,8,37,62.37
6696,1.67,5.69,1,74,46.05
6697,7.65,3.88,3,98,67.04
6698,6.19,5.1,9,66,52.86
6699,6.09,9.5,8,37,54.17
6700,9.38,6.43,10,46,58.7
6701,9.58,4.43,10,88,64.95
6702,2.82,7.65,5,90,41.21
6703,8.18,5.84,7,83,59.4
6704,6.4,8.79,3,54,70.9
6705,4.38,3.65,6,37,35.39
6706,6.82,6.65,5,68,55.69
6707,9.58,8.61,7,45,74.87
6708,5.41,8.98,9,33,48.66
6709,9.43,5.77,3,50,56.65
6710,6.61,8.19,3,98,77.64
6711,5.09,9.76,1,41,57.29
6712,6.62,7.35,9,57,52.06
6713,6.22,8.68,1,32,63.44
6714,4.51,7.02,5,75,55.84
6715,5.84,8.53,8,63,64.33
6716,7.18,9.58,3,37,52.26
6717,8.47,7.98,2,64,80.53
6718,3.39,4.08,6,81,35.95
6719,0.64,3.57,5,96,32.9
6720,5.74,8.68,2,72,64.28
6721,5.15,4.81,8,72,44.41
6722,1.01,9.13,8,84,46.46
6723,6.51,4.37,3,40,32.45
6724,9.44,9.38,8,48,69.65
6725,4.32,8.64,2,83,55.86
6726,9.0,9.17,7,51,65.43
6727,8.22,4.63,8,32,57.0
6728,2.04,9.15,2,60,55.33
6729,7.98,7.11,9,30,54.68
6730,5.41,3.59,8,67,34.78
6731,9.23,9.52,7,93,89.35
6732,2.3,4.36,5,47,23.6
6733,1.69,4.49,5,86,44.73
6734,2.79,7.93,2,91,49.89
6735,1.07,7.08,10,50,16.73
6736,3.54,9.32,5,75,44.71
6737,3.19,5.15,1,82,54.13
6738,4.45,3.29,5,33,18.95
6739,4.9,9.96,3,36,47.69
6740,1.87,5.19,8,62,33.25
6741,6.38,4.13,6,31,33.58
6742,2.62,9.89,10,85,46.9
6743,1.66,6.94,5,99,43.88
6744,7.23,4.04,10,31,39.47
6745,0.72,8.85,1,51,45.66
6746,4.0,9.62,10,75,43.42
6747,1.87,9.17,4,37,26.16
6748,8.89,4.39,7,48,45.16
6749,8.33,3.37,2,84,54.1
6750,1.08,5.6,10,79,25.68
6751,5.73,5.48,2,40,50.94
6752,3.31,5.84,5,88,46.39
6753,2.33,8.59,4,86,60.96
6754,3.46,3.07,5,66,35.82
6755,8.25,7.72,7,91,70.73
6756,1.05,9.9,8,63,33.03
6757,6.66,5.79,2,64,50.3
6758,9.18,6.4,7,53,69.55
6759,4.76,7.4,3,44,41.96
6760,9.06,5.0,4,67,63.32
6761,9.11,8.03,7,45,73.2
6762,6.29,4.42,2,63,50.46
6763,4.83,3.45,10,66,25.24
6764,7.51,8.61,1,60,59.67
6765,9.2,4.24,9,77,55.7
6766,6.96,8.12,7,55,55.71
6767,2.49,9.1,1,49,42.76
6768,8.29,3.32,4,50,63.18
6769,9.54,7.95,8,65,69.12
6770,4.4,7.52,9,32,38.23
6771,7.13,7.37,6,59,54.17
6772,5.42,5.07,9,43,40.47
6773,1.56,3.32,2,87,40.02
6774,3.82,3.69,6,95,47.82
6775,2.06,4.91,10,68,20.82
6776,6.9,5.84,7,30,44.45
6777,6.03,9.43,4,79,68.61
6778,0.82,7.79,1,39,42.02
6779,1.09,3.18,10,88,35.16
6780,2.98,9.44,9,40,28.17
6781,7.58,8.04,9,66,66.37
6782,1.7,6.45,6,68,38.61
6783,2.45,6.24,5,97,47.79
6784,9.12,9.53,1,46,76.63
6785,5.69,6.85,6,37,42.65
6786,6.4,6.52,3,34,45.12
6787,4.83,8.42,10,73,44.02
6788,3.35,7.15,10,59,41.7
6789,2.87,4.74,7,82,38.48
6790,6.1,9.99,7,75,67.4
6791,4.97,4.97,7,38,32.22
6792,4.33,7.78,1,46,49.24
6793,7.1,6.43,4,72,59.72
6794,4.34,3.85,9,52,32.34
6795,0.85,9.71,3,60,38.84
6796,8.48,5.35,7,67,66.18
6797,3.52,7.6,2,49,40.24
6798,9.49,8.16,2,94,91.33
6799,8.86,5.76,6,68,61.41
6800,2.72,4.83,10,37,21.14
6801,9.67,3.41,2,70,65.21
6802,8.61,9.66,10,53,66.82
6803,9.86,7.07,2,56,72.51
6804,6.94,8.01,2,63,64.49
6805,9.34,6.28,7,68,61.48
6806,7.06,4.63,8,86,53.93
6807,8.62,9.97,4,31,58.81
6808,6.3,9.77,10,72,60.18
6809,9.33,9.02,2,68,72.99
6810,5.42,9.41,10,63,45.74
6811,7.5,7.03,4,82,74.21
6812,9.21,5.57,9,58,70.1
6813,4.51,5.4,6,73,45.43
6814,0.75,9.54,6,85,39.26
6815,1.57,9.71,9,31,24.25
6816,9.73,6.08,1,87,86.91
6817,8.8,7.25,2,44,72.29
6818,5.09,8.64,5,74,55.77
6819,9.63,7.92,5,69,85.29
6820,2.26,9.09,4,74,47.18
6821,1.55,7.26,4,67,37.35
6822,6.21,7.08,7,42,45.88
6823,4.13,5.63,5,84,38.95
6824,3.73,3.51,8,48,33.27
6825,7.47,3.39,1,30,52.61
6826,1.93,4.06,2,33,14.59
6827,7.9,3.4,3,95,74.76
6828,3.91,6.75,9,82,57.53
6829,9.87,5.83,2,84,82.0
6830,8.18,3.18,3,51,45.2
6831,6.64,3.15,6,43,42.98
6832,2.68,6.66,10,65,31.06
6833,9.59,6.84,7,71,64.15
6834,0.81,3.26,7,67,26.59
6835,2.62,7.69,10,69,46.37
